,Media_Source,Date,Tweets_ago,Tweet_Text,Compound,Positive,Negative,Neutral
84,@BBC,2018-07-06 09:03:13+00:00,-84,"RT @BBCRadio3: A rare chance to hear this monumental, modern masterpiece.
Gruppen - Stockhausen's avant-garde work for three orchestras fro…",0.7269,0.276,0.0,0.724
85,@BBC,2018-07-06 09:02:44+00:00,-85,"RT @5liveSport: ""You should get a red card if you fake it!"" 🔴

John McEnroe doesn't hold on when giving his thoughts on VAR and 'the guy fr…",-0.2481,0.081,0.114,0.806
86,@BBC,2018-07-06 08:02:01+00:00,-86,💕🎈 Georgina is 96-years-old and organises parties to help combat loneliness. https://t.co/JRAkMDNny8,0.0516,0.29,0.28,0.43
87,@BBC,2018-07-06 07:24:01+00:00,-87,"Why does alcohol affect women more than men?
👉 https://t.co/UNwg06vOl3 https://t.co/HBR4lEMGXV",0.0,0.0,0.0,1.0
88,@BBC,2018-07-06 07:02:05+00:00,-88,"😂🐶🎨 But your dog probably wouldn't sit still long enough for this, right? https://t.co/U2Mdq3bOda",0.0,0.0,0.0,1.0
89,@BBC,2018-07-05 19:03:03+00:00,-89,"Social media companies are deliberately addicting users to their products for financial gain, say Silicon Valley in… https://t.co/5Vn7t2h1SF",0.5267,0.167,0.0,0.833
90,@BBC,2018-07-05 18:00:24+00:00,-90,The town where even the graves are bulletproof. https://t.co/MDyzEuNg3y,-0.296,0.0,0.216,0.784
91,@BBC,2018-07-05 17:04:07+00:00,-91,🎓📚 A Belgian boy has graduated secondary school aged eight after completing six years' study in just a year and a h… https://t.co/eStTYhpek8,0.0,0.0,0.0,1.0
92,@BBC,2018-07-05 16:02:03+00:00,-92,"In South Africa, three women are killed by their partners every day. https://t.co/Vg7jDZJgU6",-0.6705,0.0,0.273,0.727
93,@BBC,2018-07-05 16:00:34+00:00,-93,"RT @BBCNewsPR: Watch the evolution of our evening news jingles as we celebrate the 64th anniversary of BBC TV News. Show your age, which on…",0.5719,0.134,0.0,0.866
94,@BBC,2018-07-05 15:46:20+00:00,-94,RT @bbceastenders: It's coming home. #ENG https://t.co/Dp1R1SVjB4,0.0,0.0,0.0,1.0
95,@BBC,2018-07-05 15:36:29+00:00,-95,"At least two suspected rhino poachers have been mauled to death and eaten by lions on a South African game reserve,… https://t.co/m8V0TpFjsd",-0.7003,0.0,0.234,0.766
96,@BBC,2018-07-05 14:02:04+00:00,-96,🌡🔥☀️From strength to bad breath: these are the weird things that happen to your body in extreme heat. 👉… https://t.co/sSsoIgrD5S,-0.25,0.126,0.205,0.669
97,@BBC,2018-07-05 13:00:14+00:00,-97,😍💗 Wouldn't the world be a better place if more people were kind like this? https://t.co/2v0UXIcXN8,0.8428,0.43,0.0,0.57
98,@BBC,2018-07-05 12:00:01+00:00,-98,"🛍🛒 Is it possible to shop without buying plastic?
#PlasticsAction https://t.co/nV0kMA6UzE",0.0,0.0,0.0,1.0
99,@BBC,2018-07-05 11:32:57+00:00,-99,RT @bbcstories: Indian-born Dennis Moss was inspired by tragedy to join the Welsh Ambulance Service in 1976 - and he's still working there…,0.0,0.188,0.153,0.66
